"date","energy_label","main_refinancing_rate"
2023-05-31,"B",3.75
2023-05-31,"E",3.75
2023-05-31,"C",3.75
2023-05-31,"B",3.75
2023-05-31,"B",3.75
2023-05-31,"C",3.75
2023-05-31,"≥A",3.75
2023-05-31,"D",3.75
2023-05-31,"B",3.75
2023-05-31,"D",3.75
2023-05-31,"≥A",3.75
2023-05-31,"C",3.75
2023-05-31,"≥A",3.75
2023-05-31,"≥A",3.75
2023-05-31,"B",3.75
2023-05-31,"B",3.75
2023-05-31,"E",3.75
2023-05-31,"B",3.75
2023-05-31,"C",3.75
2023-05-31,"C",3.75
2023-05-31,"E",3.75
2023-05-31,"C",3.75
2023-05-31,"B",3.75
2023-05-31,"G",3.75
2023-05-31,"B",3.75
2023-05-31,"D",3.75
2023-05-31,"B",3.75
2023-05-31,"B",3.75
2023-05-31,"≥A",3.75
2023-05-31,"B",3.75
2023-05-31,"B",3.75
2023-05-31,"F",3.75
2023-05-31,"E",3.75
2023-05-31,"≥A",3.75
2023-05-31,"≥A",3.75
2023-05-31,"F",3.75
2023-05-31,"C",3.75
2023-05-31,"B",3.75
2023-05-31,"≥A",3.75
2023-05-31,"E",3.75
2023-06-01,"≥A",3.75
2023-06-01,"≥A",3.75
2023-06-01,"C",3.75
2023-06-01,"C",3.75
2023-06-01,"D",3.75
2023-06-01,"C",3.75
2023-06-01,"C",3.75
2023-06-01,"C",3.75
2023-06-01,"B",3.75
2023-06-01,"≥A",3.75
2023-06-01,"C",3.75
2023-06-01,"E",3.75
2023-06-01,"C",3.75
2023-06-01,"E",3.75
2023-06-01,"≥A",3.75
2023-06-01,"B",3.75
2023-06-01,"C",3.75
2023-06-01,"C",3.75
2023-06-01,"C",3.75
2023-06-01,"E",3.75
2023-06-01,"≥A",3.75
2023-06-01,"≥A",3.75
2023-06-01,"≥A",3.75
2023-06-01,"≥A",3.75
2023-06-01,"D",3.75
2023-06-01,"C",3.75
2023-06-01,"≥A",3.75
2023-06-01,"≥A",3.75
2023-06-01,"D",3.75
2023-06-01,"B",3.75
2023-06-01,"B",3.75
2023-06-01,"F",3.75
2023-06-01,"C",3.75
2023-06-01,"D",3.75
2023-06-01,"≥A",3.75
2023-06-01,"C",3.75
2023-06-01,"G",3.75
2023-06-01,"B",3.75
2023-06-01,"≥A",3.75
2023-06-01,"≥A",3.75
2023-06-01,"≥A",3.75
2023-06-01,"≥A",3.75
2023-06-01,"E",3.75
2023-06-01,"≥A",3.75
2023-06-01,"E",3.75
2023-06-01,"E",3.75
2023-06-01,"C",3.75
2023-06-01,"≥A",3.75
2023-06-01,"C",3.75
2023-06-01,"C",3.75
2023-06-01,"≥A",3.75
2023-06-01,"B",3.75
2023-06-01,"B",3.75
2023-06-01,"C",3.75
2023-06-01,"E",3.75
2023-06-01,"C",3.75
2023-06-01,"E",3.75
2023-06-01,"≥A",3.75
2023-06-01,"G",3.75
2023-06-01,"C",3.75
2023-06-01,"B",3.75
2023-06-01,"B",3.75
2023-06-01,"≥A",3.75
2023-06-01,"≥A",3.75
2023-06-01,"≥A",3.75
2023-06-01,"C",3.75
2023-06-01,"C",3.75
2023-06-01,"D",3.75
2023-06-01,"≥A",3.75
2023-06-01,"B",3.75
2023-06-01,"≥A",3.75
2023-06-01,"C",3.75
2023-06-01,"C",3.75
2023-06-01,"C",3.75
2023-06-01,"C",3.75
2023-06-01,"C",3.75
2023-06-01,"≥A",3.75
2023-06-01,"D",3.75
2023-06-01,"C",3.75
2023-06-01,"C",3.75
2023-06-01,"C",3.75
2023-06-01,"C",3.75
2023-06-01,"C",3.75
2023-06-01,"E",3.75
2023-06-01,"C",3.75
2023-06-01,"C",3.75
2023-06-01,"B",3.75
2023-06-01,"≥A",3.75
2023-06-01,"B",3.75
2023-06-01,"D",3.75
2023-06-01,"D",3.75
2023-06-01,"≥A",3.75
2023-06-01,"D",3.75
2023-06-01,"D",3.75
2023-06-01,"B",3.75
2023-06-01,"E",3.75
2023-06-01,"≥A",3.75
2023-06-01,"C",3.75
2023-06-01,"B",3.75
2023-06-01,"≥A",3.75
2023-06-01,"C",3.75
2023-06-01,"E",3.75
2023-06-01,"D",3.75
2023-06-01,"D",3.75
2023-06-01,"C",3.75
2023-06-01,"B",3.75
2023-06-01,"C",3.75
2023-06-01,"≥A",3.75
2023-06-01,"E",3.75
2023-06-01,"C",3.75
2023-06-01,"F",3.75
2023-06-01,"E",3.75
2023-06-01,"D",3.75
2023-06-01,"D",3.75
2023-06-01,"D",3.75
2023-06-01,"≥A",3.75
2023-06-01,"≥A",3.75
2023-06-01,"≥A",3.75
2023-06-01,"C",3.75
2023-06-01,"G",3.75
2023-06-01,"B",3.75
2023-06-01,"C",3.75
2023-06-01,"C",3.75
2023-06-01,"D",3.75
2023-06-01,"D",3.75
2023-06-01,"B",3.75
2023-06-01,"E",3.75
